Q,A
What is bias variance trade-off?,"Bias-variance trade-off refers to the balance between the error due to bias (underfitting) and the error due to variance (overfitting). Ideally, a model should have low bias and low variance, but increasing one can decrease the other."
How is correlation related to covariance?,"Both correlation and covariance measure the relationship between two variables. While covariance only indicates the direction of the relationship (positive or negative), correlation additionally provides the degree of the relationship, normalized between -1 and 1."
What are the different types of activation function?,"Common activation functions include Sigmoid, Tanh, ReLU (Rectified Linear Unit), Leaky ReLU, and Softmax, each with its own properties and use-cases."
How can you evaluate classification models?,"Classification models can be evaluated using metrics like accuracy, precision, recall, F1-score, ROC curve, AUC, confusion matrix, among others."
What is clustering?,"Clustering is an unsupervised learning technique that groups similar data points together based on certain features, without having prior labels."
What are the different types of clustering?,"Common types include K-means, Hierarchical clustering, DBSCAN, Gaussian Mixture Models, and Agglomerative clustering."
Can you automate deciding the k in k-means clustering?,"Yes, methods like the Elbow method, Silhouette analysis, and the Gap statistic can help determine the optimal number of clusters (k) in k-means."
How do you treat seasonality in time series?,"Seasonality can be treated using methods like decomposition (which breaks down time series into trend, seasonal, and residual components), seasonal differencing, and using models like SARIMA which account for seasonality."
What to do if your time series data is not stationary?,"Non-stationary time series data can be transformed to be stationary using differencing, taking the logarithm, or using transformations like the Box-Cox transformation."
Difference between ARIMA and SARIMA?,ARIMA (AutoRegressive Integrated Moving Average) models time series data without considering seasonality. SARIMA (Seasonal ARIMA) extends ARIMA to account for seasonality by adding seasonal differencing and seasonal auto-regressive and moving average terms.
What is auto correlation?,Autocorrelation measures the correlation of a time series with its own past and future values. It helps in identifying repeating patterns or seasonality in time series data.
Can we use deep learning for time series forecasting? If yes what models to use? How do they work?,"Yes, deep learning can be used for time series forecasting. Models like LSTM (Long Short-Term Memory) and GRU (Gated Recurrent Units) are popular as they can capture long-term dependencies. They work by utilizing a chain of repeating modules of neural networks to process sequential data."
What is null hypothesis?,"The null hypothesis is a statement in statistics that there is no effect or no difference, and it serves as the default or status quo to be tested against."
What are the different types of word embedding?,"Common types include Bag-of-Words, TF-IDF, Word2Vec, GloVe (Global Vectors for Word Representation), and FastText. These methods convert words into numerical vectors capturing semantic meaning."
What are N-grams?,"N-grams are continuous sequences of 'n' items (words, characters, etc.) from a text or speech. For instance, in the sentence ""I love dogs"", the 2-grams (or bigrams) are: ""I love"" and ""love dogs""."
Is named entity recognition a classification or regression model?,"Named Entity Recognition (NER) is a classification task. It categorizes words or phrases in text into predefined entity classes (e.g., person, organization, location)."
How to handle large data size in case of a NER?,"For large datasets in NER: 1) Use distributed computing (e.g., using frameworks like Spark), 2) Train models using mini-batch gradient descent, 3) Use cloud-based platforms that can handle large-scale data, 4) Consider pruning the dataset if feasible, focusing on the most informative samples."
What is transformer architecture?,"The transformer architecture is a deep learning model introduced in the ""Attention is All You Need"" paper. It uses self-attention mechanisms to weigh input data differently and can process data in parallel, making it efficient and effective for tasks like language translation."
How does BERT work?,BERT (Bidirectional Encoder Representations from Transformers) is a transformer-based model trained on large amounts of text using a masked language model task. It captures context from both directions (left-to-right and right-to-left) and can be fine-tuned for specific NLP tasks.
What is attention in NLP? Why is it important?,"Attention mechanisms in NLP allow models to focus on specific parts of the input when producing an output. It's important as it enables the model to weigh the relevance of different parts of input data, enhancing the capture of contextual information."
How to create a model similar to BERT manually?,"Creating a model like BERT manually involves: 1) Defining a transformer architecture with self-attention mechanisms, 2) Pre-training it on a large corpus using a masked language model task, 3) Fine-tuning the pre-trained model on specific downstream tasks. Proper dataset and computational resources are crucial."
How are LLMs designed?,"Large Language Models (LLMs) like GPT-3 or BERT are designed using deep neural architectures, often transformer-based. They are trained on vast amounts of text data, enabling them to generate human-like text and understand context."
In which cases LLMs are disadvantagous?,"LLMs can be: 1) Computationally expensive to train and deploy, 2) Biased based on the data they were trained on, 3) Prone to generating incorrect or nonsensical outputs, 4) Hard to interpret and debug due to their size and complexity."
What are benefits of LLM?,"LLMs: 1) Can generate coherent, diverse, and contextually relevant text, 2) Can be fine-tuned for various NLP tasks with fewer data, 3) Have state-of-the-art performance in many tasks, 4) Offer the ability to generalize across a wide range of tasks without task-specific training data."
How does ChatGPT (Any Generative AI chatbot) remember previous text messages?,"ChatGPT doesn't have long-term memory of past interactions due to privacy concerns. However, during a session, it can consider immediate context provided in the input, allowing for context-aware responses within that session."
"Where should you use open source models like falcon, llama over ChatGPT?","Use open-source models when you need customization, transparency in the model, specific training on niche data, avoiding usage costs associated with proprietary models, or when abiding by certain licensing requirements."
How do LLMs like chatgpt work in the background?,"LLMs, like ChatGPT, utilize deep neural network architectures (often transformer-based). They are pretrained on vast amounts of text and use patterns learned to generate or classify text based on the input they receive."
How can you fine tune LLMs?,"Fine-tuning involves training the pre-trained LLM on a specific, smaller dataset related to a particular task, allowing the model to adapt to specific nuances and requirements of that task."
How does ChatGPT generate text responses?,"ChatGPT uses its learned patterns from training data to predict the next word in a sequence, generating text word by word until it forms a coherent response or reaches a specified length."
How do you design conversations in a chatbot?,"Designing conversations involves understanding user intents, defining possible user inputs, crafting appropriate bot responses, handling fallbacks for unrecognized inputs, and maintaining context for coherent multi-turn conversations."
How does dialogflow or rasa work in designing chatbots?,"Dialogflow and Rasa use intent recognition and entity extraction to understand user input. Based on the recognized intent and entities, they generate or fetch appropriate responses. Both platforms allow developers to define conversation flows and handle various user intents."
How to evaluate a chatbot?,"Evaluation can be based on accuracy of intent recognition, quality of responses, user satisfaction surveys, the chatbot's ability to handle unexpected inputs, and efficiency in task completion."
What metrics do you use to monitor a chatbot?,"Common metrics include: Response time, user retention rate, session length, user satisfaction scores, fallback rate (unrecognized inputs), and task success rate."
What is topic modeling?,Topic modeling is an unsupervised machine learning method used to identify topics in a set of documents. Algorithms like Latent Dirichlet Allocation (LDA) are commonly used for this.
Explain xgboost.,"XGBoost is an optimized distributed gradient boosting library designed to be highly efficient, flexible, and portable. It boosts tree-based models' performance and accuracy through regularization and handling of missing data."
What is an Adam optimizer?,Adam (Adaptive Moment Estimation) is a gradient descent-based optimization algorithm that computes adaptive learning rates for each parameter. It combines the benefits of two other extensions of gradient descent: AdaGrad and RMSProp.
What is PCA?,"PCA (Principal Component Analysis) is a dimensionality reduction technique that transforms high-dimensional data into a lower-dimensional form, capturing the most variance in the data using fewer components."
What is back propagation?,"Back propagation is an optimization algorithm used for minimizing the error in neural networks. It calculates the gradient of the error function concerning each weight by applying the chain rule, then updates the weights to minimize the error."
What is conditional probability?,Conditional probability is the probability of an event occurring given that another event has already occurred. It's represented as P(A
What is exponential distribution?,The exponential distribution describes the time intervals in a Poisson point process or the time between consecutive events in a continuous-time process with a constant event rate.
What is binomial distribution?,"The binomial distribution describes the number of successes in a fixed number of independent Bernoulli trials, with the same probability of success on each trial."
What is Bernouilli distribution?,"The Bernoulli distribution is a discrete probability distribution for a random variable which can take only two outcomes, typically labeled 0 and 1 (e.g., success/failure)."
What is chi-squared test?,The chi-squared test assesses whether observed frequencies are different from expected frequencies in categorical variables. It's used for independence testing between categorical variables.
What is gamma distribution?,"The gamma distribution is a two-parameter family of continuous probability distributions, which is widely used in statistics to model continuous variables that are always positive and have skewed distributions."
What is the Central Limit Theorem?,"The Central Limit Theorem states that the distribution of the sum (or average) of a large number of independent, identically distributed random variables approaches a Gaussian (normal) distribution, regardless of the original distribution of the variables."
What is marginal probability?,Marginal probability is the probability of an event occurring without reference to any other events; it's derived by summing joint probabilities over all values of the other variables.
Explain collinearity.,"Collinearity refers to a condition where two or more predictor variables in a regression are highly correlated, meaning one can be linearly predicted from the others, which can distort the coefficient estimates and reduce the model's interpretability."
What metrics are used to classify datasets?,"Classification metrics include accuracy, precision, recall, F1 score, ROC-AUC, confusion matrix, and more, which evaluate the performance of classification algorithms."
What is co-efficient in statistics?,"In statistics, a coefficient typically refers to the numerical or constant quantity placed before and multiplying a particular variable in an equation (e.g., the slope in a linear regression equation). It indicates the degree or magnitude of a certain relationship or effect."
"What are mean, median and mode?",Mean is the average of all values in a dataset. Median is the middle value in a sorted dataset. Mode is the value that appears most frequently in a dataset.
What is descriptive statistics?,"Descriptive statistics summarizes and describes the main features of a dataset through measures such as mean, median, mode, standard deviation, etc., providing a simple overview of the sample and measures of the data's main characteristics."
What is inferential statistics?,Inferential statistics uses a random sample of data from a population to describe and make inferences about the population. It often involves hypothesis testing and the estimation of population parameters.
What is the difference between predictive and prescriptive analytics?,"Predictive analytics forecasts future trends using historical data while prescriptive analytics suggests actions to take based on predictions, aiming at achieving specific outcomes or solving particular problems."
What is the learning curve tool?,A learning curve plots the performance of a model (like accuracy or error) against the experience or training time of the model. It helps in understanding if a model benefits from more data or if it's overfitting/underfitting.
What is contour visualization?,"Contour visualization represents a 3-dimensional surface on a 2-dimensional plane using contour lines, which are lines of constant value. It's commonly used to visualize the relationship between three continuous variables."
Give different types of optimization algorithms.,"Some optimization algorithms include Gradient Descent, Stochastic Gradient Descent, Newton's Method, Genetic Algorithms, and Simulated Annealing."
What is a decision boundary?,A decision boundary is a surface or line that separates data points belonging to different classes in a classification problem. It represents the threshold where the probability of belonging to one class vs. another is equal.
What is a kernel trick?,"The kernel trick involves using a kernel function to transform data into a higher-dimensional space, making it possible to perform linear separation in that space for problems that aren't linearly separable in the original space."
How do you tune parameters to avoid underfitting and overfitting?,"Use techniques like cross-validation to evaluate model performance on unseen data, regularization to penalize complex models, pruning in decision trees, and gathering more data if possible."
How do we split data into training and testing data?,"Data can be split randomly, but often it's divided such that around 70-80% is used for training and 20-30% is used for testing to validate the model's performance. Tools like train_test_split in scikit-learn can help."
Explain TPE hyperparameter optimization.,TPE (Tree-structured Parzen Estimator) is a Bayesian optimization method. It builds a probabilistic model of the objective function and selects new inputs to evaluate the function by applying a criterion to the model.
Explain the memory cell of a LSTM.,"The memory cell in an LSTM (Long Short-Term Memory) network is its core component, regulating the flow of information through controlling gates. It can remember or forget specific information over long time intervals, making LSTMs effective for sequence prediction tasks."
"What is the difference between loss function, cost function and objective function?",A loss function computes the error for a single training example. Cost function is the average loss over the entire dataset. Objective function is a more general term that may include the cost function and regularization terms.
What does it mean when p values are high or low?,A low p-value (< 0.05) suggests that the observed effect is statistically significant and not due to random chance. A high p-value suggests the opposite.
What are the differences between expected and mean value?,"They are often used interchangeably in many contexts. The expected value is the long-run average value of a random variable, whereas the mean is the average value of a dataset."
What are confounding variables?,"Confounding variables are external factors in an experiment or study that affect both the independent and dependent variables, potentially leading to incorrect conclusions."
What is k-nearest neighbor algorithm?,"KNN is a non-parametric, instance-based learning algorithm where the output of a new instance is predicted based on the k closest training examples in the feature space."
"What are true positives, false positives, true negatives and false negatives?",True positives (TP) are correctly predicted positives. False positives (FP) are incorrectly predicted positives. True negatives (TN) are correctly predicted negatives. False negatives (FN) are incorrectly predicted negatives.
What is multicollinearity?,"Multicollinearity occurs when independent variables in a regression model are highly correlated, which can destabilize the model and make it hard to identify the effect of individual variables."
When would you use random forests vs. SVM and why?,Random forests are preferred for large datasets and when interpretability and feature importance are crucial. SVMs are powerful for higher-dimensional data and when maximum margin separation is desired.
Do you think 50 small decision trees are better than a large one? Why?,"It depends. 50 small trees, like in a random forest, can capture complex patterns and reduce overfitting. A large tree might fit the training data very well but overfit and perform poorly on unseen data."
What’s the difference between an AdaBoosted tree and a Gradient Boosted tree?,"AdaBoost adjusts the weights of misclassified instances at each iteration, whereas Gradient Boosting adjusts based on the negative gradient (or residuals) of the loss function."
How does XGBoost handle the bias-variance tradeoff?,"XGBoost uses gradient boosting algorithm with regularization terms, which controls the complexity of trees, helping in managing the bias-variance tradeoff."
What is the difference between online and batch learning?,"Online learning updates the model incrementally with each new data point, whereas batch learning uses the entire dataset to train the model at once."
Is mean imputation of missing data acceptable practice?,"While it's a simple method, mean imputation doesn't account for inherent variability in data and can reduce the variance. It's generally better to use more sophisticated methods or understand the nature of missingness first."
What is an inlier?,An inlier is a data point that falls within the expected range and is not considered an outlier or anomaly.
How are collaborative filtering and content-based filtering similar?,"Both are recommendation system techniques. Collaborative filtering recommends items based on user behavior, while content-based filtering recommends items similar to what a user likes. The similarity is in their goal: to provide personalized recommendations."
What are some of the steps for data wrangling and data cleaning before applying machine learning algorithms?,"Steps include handling missing values, removing duplicates, transforming variables, dealing with outliers, encoding categorical variables, and normalization or scaling."
What is the difference between precision and recall?,"Precision is the fraction of relevant instances among the retrieved instances, while recall (sensitivity) is the fraction of relevant instances that have been retrieved over the total amount of relevant instances."
Why is mean square error a bad measure of model performance?,"MSE is sensitive to outliers, so it might give an overly pessimistic measure if there are large errors. It also lacks interpretability in some contexts since it doesn't have the same unit as the original data."
What is feature engineering?,Feature engineering is the process of creating new features or modifying existing ones to improve the performance of machine learning models.
What are the feature selection methods used to select the right variables?,"Methods include filter methods (e.g., correlation coefficients), wrapper methods (e.g., forward selection, backward elimination), and embedded methods (e.g., LASSO, decision trees)."
Briefly explain how a basic neural network works,"A neural network processes input data through layers of interconnected nodes (neurons). Each connection has a weight, and nodes apply an activation function to the incoming data. The network learns by adjusting weights based on the error in predictions."
Why is Rectified Linear Unit a good activation function?,"ReLU is computationally efficient, helps mitigate the vanishing gradient problem, and often leads to faster convergence in practice."
What happens if the learning rate is set too high or too low?,"Too high: the model might overshoot the optimal point, leading to divergence. Too low: the model converges slowly or gets stuck in local minima."
What is the law of large numbers?,"It states that as the size of a sample increases, the sample mean will get closer to the population mean."
Why is Central Limit Theorem important?,"It states that, given certain conditions, the mean of a large number of independent and identically distributed random variables tends toward a normal distribution, regardless of the original distribution. It underpins many statistical methods and tests."
What is the Markov Property?,"It states that the future state of a process is only dependent on the current state, not on the sequence of states that preceded it."
What is statistical power?,The probability that a test correctly rejects the null hypothesis when the alternative hypothesis is true.
How does experimental data contrast with observational data?,"Experimental data is collected from experiments where researchers control one or more variables. Observational data is collected without any intervention from the researcher, observing natural occurrences."
Give an example where the median is a better measure than the mean,"Incomes in a city where a few billionaires skew the mean upwards, making the median a better representation of a typical resident's income."
What is survivorship bias?,"It's the error of focusing on the subjects that ""survived"" some process and overlooking those that didn't, leading to false conclusions."
What is root cause analysis? How can you identify a cause vs. a correlation?,"Root cause analysis is a method of problem-solving aimed at identifying the root causes of problems or events. Identifying cause vs. correlation involves controlled experiments, understanding the underlying mechanisms, and using statistical methods to rule out spurious relations."
Explain what a long-tailed distribution is,"A distribution with a large number of occurrences far from the mode, and few near it. It indicates a high degree of variance or outliers."
When is a/b testing used?,"It's used to compare two versions (A and B) of a webpage, app, or other product to determine which performs better in terms of a specific metric."
How do you assess the statistical significance of an insight?,"By conducting hypothesis tests and calculating p-values. If the p-value is below a predetermined threshold (e.g., 0.05), the result is deemed statistically significant."
What is the difference between a boxplot and a histogram?,"A boxplot provides a summary of a data set's central tendency, variability, and skewness using quartiles, medians, and possible outliers. A histogram shows the frequency distribution of a data set."
What is the meaning of ACF and PACF?,ACF (Auto-Correlation Function) measures the correlation between a series and its lagged values. PACF (Partial Auto-Correlation Function) measures the correlation between a series and its lagged values while controlling for the values at all shorter lags.
Why is dimension reduction important?,"Reduces computational costs, removes multicollinearity, helps in visualizing data, and may improve model performance by removing noise."
Is it beneficial to perform dimensionality reduction before fitting an SVM? Explain.,"Yes, it can speed up training, particularly in cases where there's a lot of redundant or irrelevant features. However, it may lose some information, so it's a trade-off."
Difference between convex and non-convex cost function,"A convex function has a single global minimum, and any local minimum is also a global minimum. Non-convex functions have multiple local minima, making optimization more challenging."
How do you calculate the needed sample size?,"Sample size calculation depends on desired confidence level, margin of error, population variance, and effect size. Common methods include Cochran's formula for simple random samples."
"Is rotation necessary in PCA? If yes, Why?","Rotation in PCA (like Varimax) can help in making the loadings of components more interpretable. It maximizes high loadings and minimizes low loadings, making it clearer which variables drive each principal component."
"Explain prior probability, likelihood and marginal likelihood in context of Naive Bayes.",Prior Probability: Initial belief about the probability of an outcome. Likelihood: Probability of observing the data given a particular outcome. Marginal Likelihood: Total probability of observing the data across all possible outcomes.
How is kNN different from kmeans clustering?,kNN is a supervised classification algorithm that assigns a new data point to the majority class of its 'k' nearest neighbors. kmeans is an unsupervised clustering algorithm that partitions data into 'k' clusters based on feature similarity.
How is True Positive Rate and Recall related?,They are the same. Both measure the proportion of actual positives that are correctly identified.
When is Ridge regression favorable over Lasso regression?,"Ridge is preferable when there are many large parameters of about the same value (i.e., when most predictors are important). Lasso, due to its ability to reduce some coefficients to zero, is preferable when we believe many features are irrelevant or redundant."
What is convex hull?,The convex hull of a set of points is the smallest convex shape that contains all the points.
What is Euclidean and Manhattan distance? What are they used for?,Euclidean Distance: Straight line distance between two points in a space. Manhattan Distance: Sum of absolute differences in their coordinates (like moving only on gridlines of a grid). Both are used in various algorithms to measure the distance/similarity between data points.
What is ordinary least squares?,A method to estimate the parameters in a linear regression model by minimizing the sum of squared differences between observed and predicted values.
What is maximum likelihood?,"A method used to estimate the parameters of a statistical model by maximizing the likelihood function, which measures how well the model explains the observed data."
Explain the steps in making a decision tree.,"1. Choose an attribute to split on. 2. Calculate the best split point (using metrics like Gini impurity or entropy). 3. Create a node based on that attribute. 4. Repeat the process for the sub-nodes using the subsets of data. 5. Stop when a termination condition is met (e.g., max depth reached, minimum samples per leaf, or purity achieved)."
How should you maintain a deployed model?,"Continuously monitor its performance, periodically retrain with new data, adjust for concept drift, ensure infrastructure support, and seek user feedback."
How can time-series data be declared as stationary?,"A time series is stationary if its statistical properties (mean, variance, autocorrelation) don't change over time. Tests like the Augmented Dickey-Fuller test can be used to check for stationarity."
What are the feature vectors?,A feature vector is an n-dimensional vector of numerical features that represent an object in machine learning.
Explain Dependency Parsing in NLP.,"Dependency parsing identifies grammatical relationships between words in a sentence, linking words based on their dependencies. E.g., in ""She read the book"", ""read"" is linked to ""She"" (subject) and ""book"" (object)."
What is text summarization?,"The process of shortening a text document, retaining its most important information, to produce a concise summary."
What is NLTK? How is it different from Spacy?,"NLTK (Natural Language Toolkit) is a Python library for NLP offering a wide range of tools and English grammars. SpaCy is another Python NLP library, designed to be fast and production-ready. While NLTK is broad, SpaCy is optimized for performance and industrial use."
What is SpaCy?,"SpaCy is a high-performance, industrial-strength NLP library in Python designed for production use. It offers pre-trained models and supports various NLP tasks."
What is information extraction in NLP?,"The process of automatically extracting structured information like entities, relationships, and events from unstructured text."
What is Pragmatic Ambiguity in NLP?,Ambiguity arising from context or the way something is said rather than language structure or word meanings. It's about interpreting the speaker's intended meaning.
What is cosine similarity in NLP?,"A measure of similarity between two non-zero vectors, often used to measure similarity between text documents represented as vectors (e.g., TF-IDF vectors)."
What is Masked Language Model?,"A type of language model where some words in the input are masked (hidden), and the model is trained to predict those masked words from their context. BERT is an example."
What is the difference between NLP and CI (Conversational Interface)?,NLP deals with the processing and understanding of human language. CI (or chatbot) uses NLP techniques to facilitate human-computer interaction in a conversational manner.
Explain Dependency Parsing in NLP?,"(Repeated question; see above) Dependency parsing identifies grammatical relationships between words in a sentence, based on their dependencies."
What are the various steps involved in an analytics project?,"Problem definition, data collection, data cleaning, exploratory data analysis, feature engineering, model selection, model training, evaluation, deployment, and monitoring."
What are hyperparameters?,"Parameters not learned from the training data, set before training starts. Examples: learning rate, number of hidden layers in a neural network."
How Does an LSTM Network Work?,"LSTM (Long Short-Term Memory) is a type of recurrent neural network that can learn and remember over long sequences and is less susceptible to the vanishing gradient problem. It uses gates (input, output, forget) to regulate information flow."
What Is a Multi-layer Perceptron (MLP)?,"A type of feedforward artificial neural network consisting of multiple layers of nodes in a directed graph, where each layer is fully connected to the next one. It's used for classification and regression tasks."
What is exploding gradients?,"Exploding gradients occur in neural networks when large error gradients accumulate during training, causing large updates to network weights and leading to an unstable network."
What are the variants of Back Propagation?,"Variants include Stochastic Gradient Descent (SGD), Mini-batch Gradient Descent, Momentum-based Gradient Descent, Nesterov Accelerated Gradient (NAG), Adagrad, RMSprop, and Adam."
What Do You Mean by Tensor in Tensorflow?,"In TensorFlow, a tensor is a multi-dimensional array used to represent all data types (scalars, vectors, matrices, etc.). It's a fundamental data structure in TensorFlow for representing inputs, outputs, and transformations within neural networks."
"Explain the 80/20 rule, and tell me about its importance in model validation.","The 80/20 rule, or Pareto principle, in ML implies using 80% of the data for training and 20% for testing. It ensures a model is trained on a substantial dataset while having enough data to validate and test its performance and generalization capabilities."
What is a model in machine learning?,"In machine learning, a model is a mathematical representation of a real-world process, learned from training data. It predicts or classifies new data based on learned patterns."
How would you go about choosing an algorithm to solve a business problem?,"Consider the nature of the problem (classification, regression, clustering), the size and type of data, the required accuracy and speed, interpretability of the model, and available computational resources."
"What’s the difference between inductive, deductive, and abductive learning?",Inductive learning generalizes from specific cases to broader rules. Deductive learning applies general rules to specific cases. Abductive learning involves making the best guess based on incomplete information.
What steps would you take to evaluate the effectiveness of your ML model?,"Use appropriate performance metrics (accuracy, precision, recall, F1-score), perform cross-validation, test the model on unseen data, analyze confusion matrix, and consider domain-specific evaluation metrics."
What’s a Fourier transform?,A Fourier transform is a mathematical technique that transforms a signal from its original domain (often time or space) into a representation in the frequency domain. It helps in analyzing the frequency components of the signal.
What’s the difference between a generative and discriminative model?,"Generative models (like Naive Bayes) learn the joint probability distribution P(X,Y) and can generate new samples. Discriminative models (like Logistic Regression) learn the decision boundary between classes or P(Y"
How would you build a data pipeline?,"Define objectives, collect and preprocess data, perform exploratory data analysis, feature engineering, select and train a model, evaluate performance, and automate the process for continuous data ingestion and prediction."
Is more data always better?,"More data generally improves model performance, but it's also important to have quality, relevant, and diverse data. Beyond a certain point, the benefits of additional data diminish."
How can you make sure that you don’t analyze something that ends up meaningless?,"Use robust statistical methods, ensure data quality, understand the business context and data sources, cross-validate results, and incorporate domain expertise."
How can you determine which features are the most important in your model?,"Use methods like feature importance in tree-based models, coefficients in linear models, or techniques like permutation importance. Machine learning explainability tools like SHAP and LIME can also provide insights."
What are some ways I can make my model more robust to outliers?,"Use robust algorithms (like Random Forest), apply outlier detection and removal, use robust scaling techniques, apply data transformations, or use models with built-in outlier resistance like Huber regression."
"What are some differences you would expect in a model that minimizes squared error, versus a model that minimizes absolute error?","Minimizing squared error is more sensitive to outliers as it squares the errors, leading to higher penalty on larger errors. Minimizing absolute error is less sensitive to outliers but can be harder to optimize as it's not differentiable at zero."
What error metric would you use to evaluate how good a binary classifier is?,"Common metrics include accuracy, precision, recall, F1 score, ROC-AUC, and confusion matrix. The choice depends on the specific context and whether false positives or false negatives have a greater cost."
"Given training data on tweets and their retweets, how would you predict the number of retweets of a given tweet after 7 days after only observing 2 days worth of data?","Use a time series forecasting model like ARIMA or LSTM, incorporating features from the initial 2-day data, possibly with external factors like user engagement metrics, to predict the 7-day retweet count."
"In an A/B test, how can you check if assignment to the various buckets was truly random?",Perform checks like comparing demographic and behavioral metrics across groups pre-test. Statistical tests can be used to confirm no significant differences exist between groups before the test.
"What might be the benefits of running an A/A test, where you have two buckets who are exposed to the exact same product?",It helps validate that the testing environment is fair and that any differences in metrics are due to random chance rather than systematic bias. It also helps calibrate the sensitivity of the testing system.
What would be the hazards of letting users sneak a peek at the other bucket in an A/B test?,"It can introduce bias, as users' knowledge of the other version may affect their behavior, leading to contaminated results and inaccurate conclusions."
How would you design an experiment to determine the impact of latency on user engagement?,"Introduce controlled variations in latency to different user groups, measure engagement metrics (like time spent, conversion rates) across these groups, and analyze the correlation between latency and engagement."
What is maximum likelihood estimation? Could there be any case where it doesn’t exist?,MLE is a method for estimating the parameters of a statistical model by maximizing the likelihood function. It might not exist in cases where the likelihood function is not well-defined or when it does not have a unique maximum.
What is a confidence interval and how do you interpret it?,"A confidence interval gives a range of values within which the true parameter value is likely to lie, with a certain level of confidence (like 95%). It indicates the reliability of an estimate."
What is Selection Bias?,"Selection bias occurs when the sample collected is not representative of the population being studied, leading to skewed or biased results."
How do we choose K in K-fold cross-validation?,"K is typically chosen based on the size of the dataset: small datasets might require a larger K (e.g., 10), while large datasets could be fine with a smaller K (e.g., 5). The goal is to balance bias and variance in model assessment."
What is sigmoid? What does it do?,"The sigmoid function is an activation function that maps input values to a range between 0 and 1, often used for binary classification in logistic regression and neural networks."
How to interpret the AU ROC score?,"AUC-ROC score represents the likelihood of a model distinguishing between the positive and negative classes. A score of 1 indicates perfect classification, while 0.5 indicates no discriminative power."
What is the area under the PR curve? Is it a useful metric?,"The area under the Precision-Recall curve is a metric for evaluating binary classifiers, particularly useful in imbalanced datasets. It measures the trade-off between precision and recall."
In which cases AU PR is better than AU ROC?,AU PR is more informative than AU ROC in cases of imbalanced datasets where the positive class is much less frequent than the negative class.
What do we do with categorical variables?,"Categorical variables can be converted into numerical values using techniques like one-hot encoding, label encoding, or embedding, depending on the algorithm used and the nature of the categorical data."
Can we have both L1 and L2 regularization components in a linear model?,"Yes, combining L1 and L2 regularization is known as Elastic Net regularization. It blends both penalties, potentially providing the benefits of both Lasso (L1) and Ridge (L2) regression."
What’s the interpretation of the bias term in linear models?,"The bias term represents the intercept of the regression line, indicating the value of the output when all predictors are zero. It accounts for the mean value of the response when all predictors are at their means."
How do we interpret weights in linear models?,Weights (coefficients) represent the strength and direction of the relationship between each predictor variable and the response variable. A higher absolute weight indicates a stronger effect.
If a weight for one variable is higher than for another — can we say that this variable is more important?,"Generally, yes, but it's crucial to consider the scale of variables. Features with larger scales can have smaller weights. Comparisons should be made after feature normalization."
When do we need to perform feature normalization for linear models? When it’s okay not to do it?,Feature normalization is usually needed when features have different scales. It's less critical when all features are already on the same scale or when using tree-based models.
Which feature selection techniques do you know?,"Techniques include filter methods (e.g., correlation, Chi-square test), wrapper methods (e.g., recursive feature elimination), and embedded methods (e.g., L1 regularization, decision tree importance)."
Can we use L1 regularization for feature selection?,"Yes, L1 regularization (Lasso regression) can be used for feature selection, as it tends to shrink the coefficients of less important features to zero."
What are the benefits of a single decision tree compared to more complex models?,"A single decision tree is easy to interpret, can handle both numerical and categorical data, requires little data preprocessing, and is fast to train."
Why do we need randomization in random forest?,"Randomization in random forests (random selection of features and bootstrap samples) ensures diversity among the trees, reducing the risk of overfitting and improving model robustness."
How do we select the depth of the trees in random forest?,The depth can be chosen based on cross-validation to balance model complexity and overfitting. It may also be set based on domain knowledge or computational limitations.
How do we know how many trees we need in random forest?,The number of trees is often chosen through cross-validation: enough trees to stabilize the prediction accuracy without overfitting. More trees generally lead to better performance but at the cost of increased computation.
What happens when we have correlated features in our data?,"Correlated features can make the model harder to interpret and might lead to overfitting. It can also impact the importance of features, as the model may arbitrarily prefer one feature over another."
What’s the difference between random forest and gradient boosting?,"Random forests build trees independently and combine their predictions, while gradient boosting builds trees sequentially, each tree trying to correct errors of the previous one."
Is it possible to parallelize training of a gradient boosting model? How to do it?,"Traditional gradient boosting is sequential; however, variants like XGBoost and LightGBM use techniques to approximate the boosting process, allowing for parallel processing of certain parts."
"When using scikit-learn, is it true that we need to scale our feature values when they vary greatly?","Yes, feature scaling is important in scikit-learn, especially for algorithms sensitive to feature scales like SVM, KNN, and neural networks."
"For NLP, what’s the main purpose of using an encoder-decoder model?","In NLP, encoder-decoder models are used for tasks that involve converting one sequence to another, like machine translation, where the encoder processes the input text and the decoder generates the translated output."
Why does XGBoost perform better than SVM?,"XGBoost often performs better due to its ability to handle a variety of data types, missing data, and numerous features. It also incorporates regularization to avoid overfitting, and its ensemble approach often yields better results than SVM's margin-based approach."
What is the default method for splitting in decision trees?,"The default method is typically a measure of impurity reduction, like Gini impurity or information gain for classification, and variance reduction for regression."
What are advantages and disadvantages of using neural networks?,"Advantages: High accuracy, flexibility, and capacity for complex pattern recognition. Disadvantages: Require large datasets, computationally expensive, often lack interpretability, and prone to overfitting without proper regularization."
You are working on a dataset. How do you select important variables?,"Use techniques like feature importance in tree-based models, correlation analysis, forward or backward selection, or regularization methods like Lasso which can shrink coefficients of less important variables to zero."
